Code  ┃Name                 ┃City       ┃University ┃Branches   ┃Capacity   ┃Price      ┃Threshold  ┃Observations ┃Coefficients
11029 ┃Arqueologia          ┃Barcelona  ┃UB         ┃AH         ┃75         ┃0          ┃5.000000   ┃16 ┃0,0,0,0,0,0,0,0,2...

21146 ┃Arqueologia          ┃Cerdany... ┃UAB        ┃AH         ┃60         ┃0          ┃5.000000   ┃16 ┃0,0,0,0,0,0,0,0,2...

71049 ┃Antropologia_i_Ev... ┃Tarragona  ┃URV/UOC    ┃AH         ┃120        ┃0          ┃5.000000   ┃14,14-16 ┃0,0,0,0,0,0,0,0,0...

11096 ┃Arqueologia/Histo... ┃Barcelona  ┃UB         ┃AH         ┃20         ┃0          ┃7.451000   ┃04,04-16 ┃0,0,0,0,0,0,0,0,2...

21152 ┃Antropologia_Soci... ┃Cerdany... ┃UAB        ┃CSJ        ┃70         ┃0          ┃5.000000   ┃16 ┃0,0,0,0,0,0,0,0,0...

31016 ┃Arquitectura_Tecn... ┃Barcelona  ┃UPC        ┃EA         ┃160        ┃0          ┃8.006000   ┃21 ┃0,0,0,0,0,2,1,2,0...

81020 ┃Arquitectura_Tecn... ┃Girona     ┃UdG        ┃EA         ┃25         ┃0          ┃8.218000   ┃16 ┃0,0,0,0,0,2,1,2,0...

81065 ┃Arquitectura_Tecn... ┃Girona     ┃UdG        ┃EA         ┃15         ┃0          ┃7.614000   ┃16 ┃0,0,0,0,0,2,1,2,0...

61016 ┃Arquitectura_Tecn... ┃Lleida     ┃UdL        ┃EA         ┃25         ┃0          ┃7.890000   ┃16 ┃0,0,0,0,0,2,1,2,0...

31078 ┃Arquitectura,_Est... ┃Barcelona  ┃UPC        ┃EA         ┃342        ┃0          ┃9.516000   ┃21 ┃0,0,0,0,2,2,2,2,2...

81057 ┃Arquitectura,_Est... ┃Girona     ┃UdG        ┃EA         ┃40         ┃0          ┃9.490000   ┃16 ┃0,0,0,0,2,2,2,2,2...

71087 ┃Arquitectura,_Est... ┃Reus       ┃URV        ┃EA         ┃60         ┃0          ┃8.910000   ┃16 ┃0,0,0,0,2,2,2,2,2...

31079 ┃Arquitectura,_Est... ┃Sant_Cu... ┃UPC        ┃EA         ┃110        ┃0          ┃9.844000   ┃21 ┃0,0,0,0,2,2,2,2,2...

81045 ┃Arts_Esceniques_"... ┃Salt       ┃UdG        ┃AH         ┃30         ┃6480       ┃5.174000   ┃17 ┃2,2,0,0,2,0,0,0,2...

21020 ┃Arts_i_Disseny_"M... ┃Barcelona  ┃UAB        ┃AH         ┃95         ┃6332       ┃5.000000   ┃17 ┃0,0,0,0,2,2,2,2,2...

91063 ┃Audiologia_General   ┃Vic        ┃UVic-UCC   ┃CS         ┃60         ┃6901       ┃5.000000   ┃None ┃0,0,2,0,0,0,0,2,0...

11099 ┃Belles_Arts          ┃Barcelona  ┃UB         ┃AH         ┃300        ┃0          ┃8.280000   ┃16 ┃0,0,0,0,2,2,2,0,2...

91059 ┃Belles_Arts_"BAU"    ┃Barcelona  ┃UVic-UCC   ┃AH         ┃80         ┃8780       ┃5.000000   ┃None ┃0,0,0,0,2,2,2,0,2...

91917 ┃Bioinformatica_(d... ┃Barcelo... ┃UPC/UB/... ┃CS         ┃50         ┃0          ┃10.738000  ┃21 ┃0,0,2,0,0,0,0,2,0...

11002 ┃Biologia             ┃Barcelona  ┃UB         ┃C          ┃144        ┃0          ┃11.030000  ┃16 ┃0,0,2,1,0,0,0,2,0...

21009 ┃Biologia             ┃Cerdany... ┃UAB        ┃C          ┃80         ┃0          ┃10.936000  ┃16 ┃0,0,2,1,0,0,0,2,0...

81006 ┃Biologia             ┃Girona     ┃UdG        ┃C          ┃90         ┃0          ┃9.822000   ┃16 ┃0,0,2,1,0,0,0,2,0...

91018 ┃Biologia             ┃Vic        ┃UVic-UCC   ┃C          ┃50         ┃6058       ┃5.000000   ┃None ┃0,0,2,1,0,0,0,2,0...

81047 ┃Biologia/Biotecno... ┃Girona     ┃UdG        ┃C          ┃10         ┃0          ┃11.420000  ┃04,04-16 ┃0,0,2,1,0,0,0,2,0...

91058 ┃Biomedicina          ┃Vic        ┃UVic-UCC   ┃C          ┃50         ┃6058       ┃10.726000  ┃None ┃0,0,2,0,0,0,0,2,0...

11003 ┃Bioquimica           ┃Barcelona  ┃UB         ┃C          ┃60         ┃0          ┃11.608000  ┃16 ┃0,0,2,0,0,0,0,2,0...

81048 ┃Biologia/Ciencies... ┃Girona     ┃UdG        ┃C          ┃20         ┃0          ┃9.484000   ┃04,04-16 ┃0,0,2,2,0,0,0,2,0...

21008 ┃Biologia_Ambiental   ┃Cerdany... ┃UAB        ┃C          ┃60         ┃0          ┃10.744000  ┃16 ┃0,0,2,1,0,0,0,2,0...

41001 ┃Biologia_Humana      ┃Barcelona  ┃UPF        ┃CS         ┃65         ┃0          ┃11.823000  ┃211Codi... ┃0,0,2,0,0,0,0,2,0...

11004 ┃Biotecnologia        ┃Barcelona  ┃UB         ┃C          ┃80         ┃0          ┃11.793000  ┃16 ┃0,0,2,0,0,0,0,2,0...

21011 ┃Bioquimica           ┃Cerdany... ┃UAB        ┃C          ┃60         ┃0          ┃11.342000  ┃16 ┃0,0,2,0,0,0,0,2,0...

71005 ┃Bioquimica_i_Biol... ┃Tarragona  ┃URV        ┃C          ┃45         ┃0          ┃10.980000  ┃16 ┃0,0,2,0,0,0,0,2,0...

71054 ┃Bioquimica_i_Biol... ┃Tarragona  ┃URV        ┃C          ┃15         ┃0          ┃12.417000  ┃04,04-16 ┃0,0,2,0,0,0,0,2,0...

21012 ┃Biotecnologia        ┃Cerdany... ┃UAB        ┃C          ┃80         ┃0          ┃11.408000  ┃16 ┃0,0,2,0,0,0,0,2,0...

81007 ┃Biotecnologia        ┃Girona     ┃UdG        ┃C          ┃60         ┃0          ┃10.508000  ┃16 ┃0,0,2,0,0,0,0,2,0...

61005 ┃Biotecnologia        ┃Lleida     ┃UdL        ┃C          ┃50         ┃0          ┃10.128000  ┃16 ┃0,0,2,0,0,0,0,2,0...

71006 ┃Biotecnologia        ┃Tarragona  ┃URV        ┃C          ┃40         ┃0          ┃10.514000  ┃16 ┃0,0,2,0,0,0,0,2,0...

91004 ┃Biotecnologia        ┃Vic        ┃UVic-UCC   ┃C          ┃50         ┃6058       ┃5.000000   ┃None ┃0,0,2,0,0,0,0,2,0...

71056 ┃Biotecnologia/Eng... ┃Tarragona  ┃URV        ┃           ┃10         ┃0          ┃10.753000  ┃04,04-16 ┃

11109 ┃Ciberseguretat_"E... ┃Barcelona  ┃UB         ┃EA         ┃40         ┃8220       ┃6.242000   ┃17 ┃0,0,0,0,0,2,0,2,0...

31089 ┃Ciencia_i_Enginye... ┃Barcelona  ┃UPC        ┃EA         ┃50         ┃0          ┃12.428000  ┃21 ┃0,0,2,0,0,1,1,2,0...

61040 ┃Ciencia_i_Producc... ┃Lleida     ┃UdL        ┃CS         ┃60         ┃0          ┃11.252000  ┃15,15-16 ┃0,0,2,0,0,0,0,2,0...

21021 ┃Ciencia_i_Tecnolo... ┃Cerdany... ┃UAB        ┃CS         ┃70         ┃0          ┃9.194000   ┃16 ┃0,0,2,0,0,0,0,2,0...

61008 ┃Ciencia_i_Tecnolo... ┃Lleida     ┃UdL        ┃C          ┃40         ┃0          ┃5.000000   ┃16 ┃0,0,2,0,0,0,0,2,0...

11054 ┃Ciencia_i_Tecnolo... ┃Santa_C... ┃UB         ┃CS         ┃80         ┃0          ┃8.524000   ┃16 ┃0,0,2,0,0,0,0,2,0...

21013 ┃Ciencia_Politica_... ┃Cerdany... ┃UAB        ┃CSJ        ┃80         ┃0          ┃8.292000   ┃16 ┃0,0,0,0,0,0,0,0,1...

21104 ┃Ciencia_Politica_... ┃Cerdany... ┃UAB        ┃CSJ        ┃20         ┃0          ┃11.090000  ┃04,04-16 ┃0,0,0,0,0,0,0,0,1...

21125 ┃Ciencia_Politica_... ┃Cerdany... ┃UAB        ┃CSJ        ┃20         ┃0          ┃9.584000   ┃04,04-16 ┃0,0,0,0,0,0,0,0,1...

21137 ┃Ciencia,_Tecnolog... ┃Cerdany... ┃UAB        ┃CSJ        ┃15         ┃0          ┃7.116000   ┃16,16-25 ┃0,0,2,2,0,0,0,2,0...

21131 ┃Ciencies             ┃Cerdany... ┃UAB        ┃C          ┃15         ┃0          ┃6.154000   ┃09 ┃0,0,2,2,0,1,0,2,0...

11005 ┃Ciencies_Ambientals  ┃Barcelona  ┃UB         ┃C          ┃60         ┃0          ┃9.232000   ┃16 ┃0,0,2,2,0,0,0,2,0...

21147 ┃Ciencies_Ambientals  ┃Cerdany... ┃UAB        ┃C          ┃60         ┃0          ┃8.686000   ┃16 ┃0,0,2,2,0,0,0,2,0...

81008 ┃Ciencies_Ambientals  ┃Girona     ┃UdG        ┃C          ┃60         ┃0          ┃6.894000   ┃16 ┃0,0,2,2,0,0,0,2,0...

21151 ┃Ciencies_Ambienta... ┃Cerdany... ┃UAB        ┃C          ┃30         ┃0          ┃7.118000   ┃16 ┃0,0,2,2,0,0,0,2,0...

11006 ┃Ciencies_Biomediques ┃Barcelo... ┃UB         ┃C          ┃165        ┃0          ┃12.304000  ┃16 ┃0,0,2,0,0,0,0,2,0...

21010 ┃Ciencies_Biomediques ┃Cerdany... ┃UAB        ┃C          ┃60         ┃0          ┃12.431000  ┃16 ┃0,0,2,0,0,0,0,2,0...

61004 ┃Ciencies_Biomediques ┃Lleida     ┃UdL        ┃C          ┃45         ┃0          ┃11.767000  ┃16 ┃0,0,2,0,0,0,0,2,0...

11113 ┃Ciencies_Culinari... ┃Barcelona  ┃UB         ┃CSJ        ┃80         ┃8741       ┃5.000000   ┃17 ┃0,0,2,2,0,0,0,2,0...

71086 ┃Ciencies_de_l'Act... ┃Amposta    ┃URV        ┃CS         ┃50         ┃7485       ┃5.602000   ┃17 ┃0,0,2,2,0,0,0,2,0...

11007 ┃Ciencies_de_l'Act... ┃Barcelona  ┃UB         ┃CS         ┃150        ┃0          ┃10.309000  ┃16 ┃0,0,2,2,0,0,0,2,0...

61071 ┃Ciencies_de_l'Act... ┃La_Seu_... ┃UdL        ┃CS         ┃40         ┃0          ┃9.191000   ┃16 ┃0,0,2,2,0,0,0,2,0...

61007 ┃Ciencies_de_l'Act... ┃Lleida     ┃UdL        ┃CS         ┃95         ┃0          ┃9.498000   ┃16 ┃0,0,2,2,0,0,0,2,0...

41038 ┃Ciencies_de_l'Act... ┃Mataro     ┃UPF        ┃CS         ┃60         ┃6790       ┃8.180000   ┃17 ┃0,0,2,2,0,0,0,2,0...

81082 ┃Ciencies_de_l'Act... ┃Salt       ┃UdG        ┃CS         ┃90         ┃7335       ┃5.232000   ┃17 ┃0,0,2,2,0,0,0,2,0...

91001 ┃Ciencies_de_l'Act... ┃Vic        ┃UVic-UCC   ┃CSJ        ┃100        ┃6058       ┃6.866000   ┃None ┃0,0,2,2,0,0,0,2,0...

61038 ┃Ciencies_de_l'Act... ┃Lleida     ┃UdL        ┃           ┃30         ┃0          ┃9.404000   ┃04,04-1... ┃

91055 ┃Ciencies_de_l'Act... ┃Vic        ┃UVic-UCC   ┃CS         ┃40         ┃7353       ┃5.000000   ┃04,04-29 ┃2,2,2,2,2,0,0,2,2...

81086 ┃Ciencies_de_l'Act... ┃Salt       ┃UdG        ┃CS         ┃10         ┃9984       ┃6.686000   ┃04,04-17 ┃0,0,2,2,0,0,0,2,0...

71088 ┃Ciencies_de_l'Act... ┃Amposta... ┃URV        ┃CS         ┃10         ┃10133      ┃5.871000   ┃04,04-17 ┃0,0,2,2,0,0,0,2,0...

61039 ┃Ciencies_de_l'Act... ┃Lleida     ┃UdL        ┃CS         ┃25         ┃0          ┃11.122000  ┃04,04-16 ┃0,0,2,2,0,0,0,2,0...

41037 ┃Ciencies_de_l'Act... ┃Mataro     ┃UPF        ┃CS         ┃40         ┃8850       ┃7.710000   ┃04,04-17 ┃0,0,2,2,0,0,0,2,0...

21117 ┃Ciencies_de_l'Ant... ┃Cerdany... ┃UAB        ┃AH         ┃60         ┃0          ┃5.000000   ┃16 ┃0,0,0,0,0,0,0,0,1...

11077 ┃Ciencies_del_Mar     ┃Barcelona  ┃UB         ┃C          ┃60         ┃0          ┃10.228000  ┃16 ┃0,0,2,2,0,0,0,2,0...

41009 ┃Ciencies_Empresar... ┃Barcelona  ┃UPF        ┃CSJ        ┃110        ┃0          ┃11.580000  ┃21 ┃0,0,2,0,0,0,0,2,0...

31095 ┃Ciencies_i_Tecnol... ┃Barcelona  ┃UPC        ┃EA         ┃80         ┃7500       ┃5.000000   ┃17 ┃0,0,2,2,0,1,1,2,0...

31096 ┃Ciencies_i_Tecnol... ┃Castell... ┃UPC        ┃EA         ┃60         ┃0          ┃6.244000   ┃21 ┃0,0,2,2,0,0,0,2,0...

11008 ┃Ciencies_Politiqu... ┃Barcelona  ┃UB         ┃CSJ        ┃100        ┃0          ┃8.530000   ┃16 ┃0,0,0,0,0,0,0,0,1...

41010 ┃Ciencies_Politiqu... ┃Barcelona  ┃UPF        ┃CSJ        ┃140        ┃0          ┃8.360000   ┃21 ┃0,0,0,0,0,0,0,0,1...

81010 ┃Ciencies_Politiqu... ┃Girona     ┃UdG        ┃CSJ        ┃55         ┃0          ┃7.032000   ┃16 ┃0,0,0,0,0,0,0,0,1...

11065 ┃Ciencies_Politiqu... ┃Barcelona  ┃UB         ┃CSJ        ┃20         ┃0          ┃11.452000  ┃04,04-16 ┃0,0,0,0,0,0,0,0,1...

81054 ┃Ciencies_Politiqu... ┃Girona     ┃UdG        ┃CSJ        ┃15         ┃0          ┃9.408000   ┃04,04-16 ┃0,0,0,0,0,0,0,0,1...

11105 ┃Cinematografia_"E... ┃Terrassa   ┃UB         ┃AH         ┃110        ┃11950      ┃5.000000   ┃01,01-17 ┃2,2,0,0,2,2,2,2,2...

81011 ┃Comptabilitat_i_F... ┃Girona     ┃UdG        ┃CSJ        ┃140        ┃0          ┃7.673000   ┃16 ┃0,0,2,0,0,0,0,2,0...

21084 ┃Comptabilitat_i_F... ┃Sabadell   ┃UAB        ┃CSJ        ┃150        ┃0          ┃8.612000   ┃16 ┃0,0,2,0,0,0,0,2,0...

11097 ┃Comunicacio_Audio... ┃Barcelona  ┃UB         ┃CSJ        ┃45         ┃0          ┃11.090000  ┃16 ┃2,2,0,0,1,1,2,0,1...

41002 ┃Comunicacio_Audio... ┃Barcelona  ┃UPF        ┃CSJ        ┃80         ┃0          ┃11.614000  ┃21 ┃2,2,0,0,1,1,2,0,1...

21085 ┃Comunicacio_Audio... ┃Cerdany... ┃UAB        ┃CSJ        ┃80         ┃0          ┃10.520000  ┃16 ┃2,2,0,0,1,1,2,0,1...

71007 ┃Comunicacio_Audio... ┃Tarragona  ┃URV        ┃CSJ        ┃45         ┃0          ┃9.232000   ┃16 ┃2,2,0,0,1,1,2,0,1...

91006 ┃Comunicacio_Audio... ┃Vic        ┃UVic-UCC   ┃CSJ        ┃40         ┃6058       ┃5.000000   ┃None ┃2,2,0,0,1,1,2,0,1...

11098 ┃Comunicacio_Audio... ┃Barcelona  ┃UB         ┃           ┃20         ┃0          ┃10.276000  ┃04,04-16 ┃

81005 ┃Comunicacio_Audio... ┃Salt       ┃UdG        ┃CSJ        ┃50         ┃7380       ┃5.000000   ┃17 ┃2,2,0,0,2,2,2,2,2...

81067 ┃Comunicacio_Audio... ┃Salt       ┃UdG        ┃CSJ        ┃20         ┃7380       ┃5.000000   ┃17 ┃2,2,0,0,2,2,2,2,2...

81068 ┃Comunicacio_Cultural ┃Girona     ┃UdG        ┃AH         ┃50         ┃0          ┃5.000000   ┃16 ┃2,2,0,2,2,0,2,0,2...

21121 ┃Comunicacio_de_le... ┃Cerdany... ┃UAB        ┃CSJ        ┃60         ┃0          ┃9.406000   ┃16 ┃0,0,0,2,0,0,2,0,0...

11067 ┃Comunicacio_i_Ind... ┃Barcelona  ┃UB         ┃CSJ        ┃120        ┃0          ┃8.858000   ┃16 ┃1,1,0,0,0,0,2,0,2...

61009 ┃Comunicacio_i_Per... ┃Lleida     ┃UdL        ┃AH         ┃90         ┃0          ┃6.953000   ┃16 ┃1,1,0,1,2,0,2,0,2...

21126 ┃Comunicacio_Inter... ┃Cerdany... ┃UAB        ┃CSJ        ┃60         ┃0          ┃7.136000   ┃16 ┃0,0,0,2,0,0,2,2,2...

11100 ┃Conservacio_-_Res... ┃Barcelona  ┃UB         ┃AH         ┃50         ┃0          ┃5.000000   ┃162Codi... ┃0,0,0,0,2,2,2,0,2...

61042 ┃Conservacio_de_la... ┃Lleida     ┃UdL        ┃           ┃25         ┃0          ┃5.000000   ┃04,04-16 ┃

11010 ┃Criminologia         ┃Barcelona  ┃UB         ┃CSJ        ┃140        ┃0          ┃9.540000   ┃16 ┃0,0,0,2,0,0,0,0,0...

91050 ┃Criminologia_"ESERP" ┃Barcelona  ┃UVic-UCC   ┃CSJ        ┃40         ┃7850       ┃5.000000   ┃None ┃0,0,0,2,0,0,0,0,0...

21068 ┃Criminologia         ┃Cerdany... ┃UAB        ┃CSJ        ┃65         ┃0          ┃9.764000   ┃16 ┃0,0,0,2,0,0,0,0,0...

81013 ┃Criminologia         ┃Girona     ┃UdG        ┃CSJ        ┃55         ┃0          ┃8.722000   ┃16 ┃0,0,0,2,0,0,0,0,0...

11088 ┃Criminologia/Dret... ┃Barcelona  ┃UB         ┃CSJ        ┃20         ┃0          ┃11.550000  ┃04,04-16 ┃0,0,0,2,0,0,0,0,0...

21108 ┃Criminologia/Dret... ┃Cerdany... ┃UAB        ┃CSJ        ┃25         ┃0          ┃10.956000  ┃04,04-16 ┃0,0,0,2,0,0,0,0,0...

81056 ┃Criminologia/Dret... ┃Girona     ┃UdG        ┃CSJ        ┃15         ┃0          ┃10.056000  ┃04,04-16 ┃0,0,0,2,0,0,0,0,0...

41011 ┃Criminologia_i_Po... ┃Barcelona  ┃UPF        ┃CSJ        ┃60         ┃0          ┃9.356000   ┃21 ┃0,0,0,2,0,0,0,0,0...

41043 ┃Criminologia_i_Po... ┃Barcelona  ┃UPF        ┃CSJ        ┃20         ┃0          ┃11.362000  ┃04,04-21 ┃0,0,0,2,0,0,0,0,0...

21107 ┃Direccio_Hotelera    ┃Cerdany... ┃UAB        ┃CSJ        ┃90         ┃5940       ┃5.000000   ┃17 ┃0,0,1,0,0,0,0,1,1...

81083 ┃Direccio_d'Empres... ┃Sant_Po... ┃UdG        ┃CSJ        ┃40         ┃10280      ┃5.000000   ┃17 ┃0,0,1,0,0,0,1,1,0...

71085 ┃Direccio_i_Gestio... ┃Barcelona  ┃URV        ┃CSJ        ┃70         ┃9150       ┃5.000000   ┃17 ┃0,0,2,0,0,0,2,0,2...

11110 ┃Direccio_i_Gestio... ┃L'Hospi... ┃UB         ┃CSJ        ┃40         ┃10500      ┃5.000000   ┃17 ┃0,0,2,1,0,0,0,2,0...

11101 ┃Disseny              ┃Barcelona  ┃UB         ┃AH         ┃60         ┃0          ┃10.842000  ┃16 ┃0,0,0,0,2,2,2,2,2...

91007 ┃Disseny_"BAU"        ┃Barcelona  ┃UVic-UCC   ┃AH         ┃160        ┃8780       ┃8.333000   ┃None ┃0,0,0,0,2,2,2,2,2...

21015 ┃Disseny_"Eina"       ┃Barcelona  ┃UAB        ┃AH         ┃150        ┃9000       ┃5.000000   ┃17 ┃0,0,0,0,2,2,2,2,2...

61064 ┃Disseny_Digital_i... ┃Lleida     ┃UdL        ┃EA         ┃40         ┃0          ┃9.217000   ┃16 ┃0,0,0,2,2,2,2,2,2...

31121 ┃Disseny_Digital_i... ┃Terrassa   ┃UPC        ┃EA         ┃40         ┃6360       ┃6.082000   ┃17 ┃0,0,0,0,1,2,2,2,2...
