Codi,Nom del centre d'estudi,Universitat,Població,Tipus de centre,Places orientatives,Preu orientatiu,Observacions
21040,Història,UAB,Cerdanyola del Vallès,U. Públ.,140,N/A,16
81074,Història,UdG,Girona,U. Públ.,55,N/A,16
61028,Història,UdL,Lleida,U. Públ.,40,N/A,16
71077,Història,URV,Tarragona,U. Públ.,45,N/A,16
11096,Història / Arqueologia (simultaneïtat),UB,Barcelona,U. Públ.,20,N/A,04-16
11104,Història / Història de l'Art (simultaneïtat),UB,Barcelona,U. Públ.,20,N/A,16
81078,Història / Història de l'Art (simultaneïtat),UdG,Girona,U. Públ.,10,N/A,04-16
11034,Història de l'Art,UB,Barcelona,U. Públ.,170,N/A,16
21039,Història de l'Art,UAB,Cerdanyola del Vallès,U. Públ.,80,N/A,16
81075,Història de l'Art,UdG,Girona,U. Públ.,45,N/A,16
11104,Història de l'Art / Història (simultaneïtat),UB,Barcelona,U. Públ.,20,N/A,16
81078,Història de l'Art / Història (simultaneïtat),UdG,Girona,U. Públ.,10,N/A,04-16
71078,Història de l'Art i Arqueologia,URV,Tarragona,U. Públ.,30,N/A,16
61081,Història de l'Art i Gestió del Patrimoni Artístic,UdL,Lleida,U. Públ.,40,N/A,16
21138,Història Política i Economia Contemporànies,UAB,Cerdanyola del Vallès,U. Públ.,60,N/A,16
41003,Humanitats,UPF,Barcelona,U. Públ.,170,N/A,21
21101,Humanitats,UAB,Cerdanyola del Vallès,U. Públ.,70,N/A,16
11081,Infermeria (Campus Clínic),UB,Barcelona,U. Públ.,135,N/A,16
21043,"Infermeria ""Sant Pau""",UAB,Barcelona,U. Públ. CA,93,5.860 ,17
41021,"Infermeria ""Escola Superior d'Infermeria del Mar""",UPF,Barcelona,U. Públ. CA,85,6.490 ,17
21044,Infermeria,UAB,Cerdanyola del Vallès,U. Públ.,240,N/A,16
71032,Infermeria,URV,el Vendrell,U. Públ.,40,N/A,16
81066,Infermeria,UdG,Girona,U. Públ.,190,N/A,16
61046,Infermeria,UdL,Igualada,U. Públ.,85,N/A,16
11037,Infermeria (Campus Bellvitge),UB,L'Hospitalet de Llobregat,U. Públ.,395,N/A,16
61029,Infermeria,UdL,Lleida,U. Públ.,105,N/A,16
91043,Infermeria (Campus Manresa),UVic-UCC,Manresa,U. Priv.,150,6.177 ,N/A
41031,"Infermeria ""Tecnocampus""",UPF,Mataró,U. Públ. CA,90,6.470 ,17
11036,"Infermeria ""Sant Joan de Déu""",UB,Sant Boi de Llobregat Esplugues de Llobregat,U. Públ. CA,220,6322,17-30
21042,"Infermeria ""Gimbernat""",UAB,Sant Cugat del Vallès,U. Públ. CA,200,7.430 ,17
71016,Infermeria,URV,Tarragona,U. Públ.,93,N/A,16
21041,Infermeria EUIT de Terrassa,UAB,Terrassa,U. Públ. CA,165,6.945 ,17
71028,Infermeria,URV,Tortosa,U. Públ.,82,N/A,16
91013,Infermeria,UVic-UCC,Vic,U. Priv.,150,6.380 ,N/A
71084,Infermeria,URV,el Vendrell Vilafranca del Penedès,U. Públ.,40,N/A,16-27
61044,Infermeria / Fisioteràpia (simultaneïtat),UdL,Lleida,U. Públ.,25,N/A,04-16
21046,Informàtica i Serveis,UAB,Sant Cugat del Vallès,U. Públ. CA,50,4.660 ,17
81058,Innovació i Seguretat Alimentària,UdG,Girona,U. Públ.,40,N/A,16
31106,Intel·ligència Artificial,UPC,Barcelona,U. Públ.,50,N/A,21
21139,Intel·ligència Artificial / Artificial Intelligence (docència en Anglès),UAB,Cerdanyola del Vallès,U. Públ.,40,N/A,16
10120,Investigació Privada (Títol propi no oficial),UB,Barcelona,U. Públ.,120,1.380 ,17-22
11039,Lingüística,UB,Barcelona,U. Públ.,60,N/A,16
71072,Llengua i Literatura Catalanes,URV,Tarragona,U. Públ.,40,N/A,16
21136,Llengua i Literatura Espanyoles,UAB,Cerdanyola del Vallès,U. Públ.,60,N/A,16
71073,Llengua i Literatura Hispàniques,URV,Tarragona,U. Públ.,40,N/A,16
41023,Llengües Aplicades,UPF,Barcelona,U. Públ.,60,N/A,21
41054,Llengües Aplicades / Traducció i Interpretació -Anglès- (simultaneïtat),UPF,Barcelona,U. Públ.,15,N/A,01-04-21
61051,Llengües Aplicades i Traducció / Estudis Anglesos (simultaneïtat),UdL,Lleida,U. Públ.,10,N/A,04-16
61058,Llengües Aplicades i Traducció / Filologia Catalana i Estudis Occitans (simultaneïtat),UdL,Lleida,U. Públ.,10,N/A,04-16
61080,Llengües Aplicades i Traducció / Filologia Hispànica (simultaneïtat),UdL,Lleida,U. Públ.,10,N/A,04-16
11040,Llengües i Literatures Modernes,UB,Barcelona,U. Públ.,100,N/A,16
11082,Llengües Romàniques i les seves Literatures,UB,Barcelona,U. Públ.,40,N/A,16
81064,"Logística Empresarial ""Mediterrani""",UdG,Barcelona,U. Públ. CA,50,7.215 ,17
41048,"Logística i Negocis Marítims ""Tecnocampus""",UPF,Mataró,U. Públ. CA,45,5.990 ,17
21048,Logopèdia,UAB,Cerdanyola del Vallès,U. Públ.,80,N/A,16
71062,"Màrqueting ""ESIC""",URV,Barcelona,U. Públ. CA,95,8.800 ,17
71074,"Màrqueting ""ESIC"" (docència en Anglès)",URV,Barcelona,U. Públ. CA,45,10.200 ,17-26
81051,"Màrqueting ""Mediterrani""",UdG,Barcelona,U. Públ. CA,70,6.495 ,17
71079,"Màrqueting / Administració i Direcció d'Empreses ""ESIC"" (simultaneïtat)",URV,Reus Barcelona,U. Públ. CA,10,4.712 ,20
71080,"Màrqueting / Administració i Direcció d'Empreses ""ESIC"" (simultaneïtat)",URV,Barcelona Tortosa,U. Públ. CA,10,4.712 ,20
81062,"Màrqueting / Turisme ""Mediterrani"" (simultaneïtat)",UdG,Barcelona,U. Públ. CA,25,6.685 ,04-17
61078,"Màrqueting i Comunicació Digital ""Centre Universitari EAE""",UdL,Barcelona,U. Públ. CA,90,8.800 ,17
91032,Màrqueting i Comunicació Empresarial,UVic-UCC,Vic,U. Priv.,40,5.758 ,N/A
41039,"Màrqueting i Comunitats Digitals ""Tecnocampus""",UPF,Mataró,U. Públ. CA,70,5.990 ,17
41041,"Màrqueting i Comunitats Digitals / Administració d'Empreses i Gestió de la Innovació ""Tecnocampus"" (simultaneïtat)",UPF,Mataró,U. Públ. CA,60,6.170 ,04-17
41062,"Màrqueting i Comunitats Digitals / Turisme i Gestió del Lleure ""Tecnocampus"" (simultaneïtat)",UPF,Mataró,U. Públ. CA,30,6.800 ,04-17
31132,"Màrqueting Innovació i Tecnologia ""EUNCET"" (Campus 22@) (presencial)",UPC,Barcelona,U. Públ. CA,35,7.200 ,17
31131,"Màrqueting Innovació i Tecnologia ""EUNCET"" (Campus 22@) (semipresencial)",UPC,Barcelona,U. Públ. CA,35,6.600 ,17
31134,"Màrqueting Innovació i Tecnologia ""EUNCET"" (Campus Terrassa) (presencial)",UPC,Terrassa,U. Públ. CA,35,7.200 ,17
31133,"Màrqueting Innovació i Tecnologia ""EUNCET"" (Campus Terrassa) (semipresencial)",UPC,Terrassa,U. Públ. CA,35,6.600 ,17
31129,"Màrqueting Innovació i Tecnologia / Empresa Innovació i Tecnologia ""EUNCET"" (Campus 22@) (presencial) (simultaneïtat)",UPC,Barcelona,U. Públ. CA,35,7.200 ,04-17
31130,"Màrqueting Innovació i Tecnologia / Empresa Innovació i Tecnologia ""EUNCET"" (Campus Terrassa) (presencial) (simultaneïtat)",UPC,Terrassa,U. Públ. CA,35,7.200 ,04-17
21122,Matemàtica Computacional i Analítica de Dades,UAB,Cerdanyola del Vallès,U. Públ.,40,N/A,16
11041,Matemàtiques,UB,Barcelona,U. Públ.,70,N/A,16
31040,Matemàtiques,UPC,Barcelona,U. Públ.,75,N/A,21
21003,Matemàtiques,UAB,Cerdanyola del Vallès,U. Públ.,60,N/A,16
11066,Matemàtiques / Administració i Direcció d'Empreses (simultaneïtat),UB,Barcelona,U. Públ.,20,N/A,04-16
11016,Matemàtiques / Enginyeria Informàtica (simultaneïtat),UB,Barcelona,U. Públ.,20,N/A,04-16
11020,Matemàtiques / Física (simultaneïtat),UB,Barcelona,U. Públ.,20,N/A,04-16
21005,Matemàtiques / Física (simultaneïtat),UAB,Cerdanyola del Vallès,U. Públ.,20,N/A,04-16
11043,Medicina (Campus Clínic),UB,Barcelona,U. Públ.,200,N/A,16
41058,Medicina,UPF,Barcelona,U. Públ.,64,N/A,16
21079,Medicina,UAB,Cerdanyola del Vallès,U. Públ.,385,N/A,16
81001,Medicina,UdG,Girona,U. Públ.,92,N/A,16
11083,Medicina (Campus Bellvitge),UB,L'Hospitalet de Llobregat,U. Públ.,100,N/A,16
61030,Medicina,UdL,Lleida,U. Públ.,132,N/A,16
71019,Medicina,URV,Reus,U. Públ.,130,N/A,16
91054,Medicina,UVic-UCC,Vic,U. Priv.,115,13.801 ,N/A
21050,Microbiologia,UAB,Cerdanyola del Vallès,U. Públ.,60,N/A,16
41049,"Mitjans Audiovisuals ""Tecnocampus""",UPF,Mataró,U. Públ. CA,85,6.460 ,17
81079,"Moda ""ERAM""",UdG,Girona Salt,U. Públ. CA,30,780 ,17
91029,Multimèdia. Aplicacions i Videojocs,UVic-UCC,Vic,U. Priv.,40,658 ,N/A
21051,Musicologia,UAB,Cerdanyola del Vallès,U. Públ.,60,N/A,16
21150,Nanociència i Nanotecnologia,UAB,Cerdanyola del Vallès,U. Públ.,65,N/A,16
31045,Nàutica i Transport Marítim,UPC,Barcelona,U. Públ.,50,N/A,21
11102,"Negoci Digital i Innovació en Turisme ""CETT""",UB,Barcelona,U. Públ. CA,70,8.171 ,17
11112,"Negoci Digital i Innovació en Turisme / Turisme ""CETT"" (simultaneïtat)",UB,Barcelona,U. Públ. CA,10,8.970 ,17
41024,"Negocis i Màrqueting Internacionals - Bachelor in International Business and Marketing ""ESCI""",UPF,Barcelona,U. Públ. CA,100,7.710 ,02-17
41063,"Negocis i Màrqueting Internacionals - Bachelor in International Business and Marketing ""ESCI"" (docència en anglès)",UPF,Barcelona,U. Públ. CA,50,7.710 ,02-17
61031,Nutrició Humana i Dietètica,UdL,Lleida,U. Públ.,45,N/A,16
41061,"Nutrició Humana i Dietètica ""Tecnocampus""",UPF,Mataró,U. Públ. CA,60,6.470 ,17
71044,Nutrició Humana i Dietètica,URV,Reus,U. Públ.,85,N/A,16
81081,"Nutrició Humana i Dietètica ""EUSES""",UdG,Salt,U. Públ. CA,40,6.495 ,17
11062,Nutrició Humana i Dietètica,UB,Santa Coloma de Gramenet,U. Públ.,60,N/A,16
91021,Nutrició Humana i Dietètica,UVic-UCC,Vic,U. Priv.,65,5.758 ,N/A
11075,Nutrició Humana i Dietètica / Farmàcia (simultaneïtat),UB,Barcelona Santa Coloma de Gramenet,U. Públ.,20,N/A,04-16
61057,Nutrició Humana i Dietètica / Fisioteràpia (simultaneïtat),UdL,Igualada,U. Públ.,20,N/A,04-16
11044,Odontologia,UB,L'Hospitalet de Llobregat,U. Públ.,120,N/A,16
91061,Odontologia (Campus Medicina Vic),UVic-UCC,Vic Manresa,U. Priv.,60,13.801 ,31
31105,Òptica i Optometria,UPC,Terrassa,U. Públ.,90,N/A,21
31098,Paisatgisme,UPC,Barcelona Castelldefels,U. Públ.,50,N/A,21
11045,Pedagogia,UB,Barcelona,U. Públ.,216,N/A,16
21052,Pedagogia,UAB,Cerdanyola del Vallès,U. Públ.,75,N/A,16
81043,Pedagogia,UdG,Girona,U. Públ.,60,N/A,16
71020,Pedagogia,URV,Tarragona,U. Públ.,45,N/A,16
41025,Periodisme,UPF,Barcelona,U. Públ.,80,N/A,21
21096,Periodisme,UAB,Cerdanyola del Vallès,U. Públ.,160,N/A,16
71021,Periodisme,URV,Tarragona,U. Públ.,45,N/A,16
91014,Periodisme,UVic-UCC,Vic,U. Priv.,50,658 ,N/A
71045,Pilot d'Aviació Comercial i Operacions Aèries,URV,Reus,U. Públ. CA,30,31.800 ,01-17
11046,Podologia,UB,L'Hospitalet de Llobregat,U. Públ.,80,N/A,16
91045,Podologia (Campus Manresa),UVic-UCC,Manresa,U. Priv.,80,6.133 ,N/A
21054,Prevenció i Seguretat Integral,UAB,Cerdanyola del Vallès,U. Públ. CA,88,5.940 ,17
21113,Prevenció i Seguretat Integral (en xarxa),UAB,Cerdanyola del Vallès,U. Públ. CA,33,5.940 ,05-17
11111,"Producció de Música i So per a la Indústria de l'Entreteniment ""ENTI""",UB,Barcelona,U. Públ. CA,60,8.220 ,01-17
11047,Psicologia,UB,Barcelona,U. Públ.,432,N/A,16
21081,Psicologia,UAB,Cerdanyola del Vallès,U. Públ.,360,N/A,16
81033,Psicologia,UdG,Girona,U. Públ.,80,N/A,16
61020,Psicologia,UdL,Lleida,U. Públ.,60,N/A,16
71022,Psicologia,URV,Tarragona,U. Públ.,125,N/A,16
91022,Psicologia,UVic-UCC,Vic,U. Priv.,120,658 ,N/A
41004,Publicitat i Relacions Públiques,UPF,Barcelona,U. Públ.,80,N/A,21
21097,Publicitat i Relacions Públiques,UAB,Cerdanyola del Vallès,U. Públ.,80,N/A,16
81002,Publicitat i Relacions Públiques,UdG,Girona,U. Públ.,70,N/A,16
71023,Publicitat i Relacions Públiques,URV,Tarragona,U. Públ.,45,N/A,16
91015,Publicitat i Relacions Públiques,UVic-UCC,Vic,U. Priv.,55,658 ,N/A
81077,Publicitat i Relacions Públiques / Turisme (simultaneïtat),UdG,Girona,U. Públ.,15,N/A,04-16
11093,"Publicitat Relacions Públiques i Màrqueting ""ESRP""",UB,Barcelona,U. Públ. CA,150,6.450 ,17
11049,Química,UB,Barcelona,U. Públ.,180,N/A,16
21082,Química,UAB,Cerdanyola del Vallès,U. Públ.,120,N/A,16
81034,Química,UdG,Girona,U. Públ.,60,N/A,16
71024,Química,URV,Tarragona,U. Públ.,60,N/A,16
71066,Química (docència en Anglès),URV,Tarragona,U. Públ.,30,N/A,03-16
11095,Química / Administració i Direcció d'Empreses (simultaneïtat),UB,Barcelona,U. Públ.,20,N/A,04-16
21100,Química / Física (simultaneïtat),UAB,Cerdanyola del Vallès,U. Públ.,20,N/A,04-16
21123,Relacions Internacionals,UAB,Cerdanyola del Vallès,U. Públ.,50,N/A,16
21145,Relacions Internacionals / Dret (simultaneïtat),UAB,Cerdanyola del Vallès,U. Públ.,20,N/A,16
11050,Relacions Laborals,UB,Barcelona,U. Públ.,170,N/A,16
41026,Relacions Laborals,UPF,Barcelona,U. Públ.,180,N/A,21
21055,Relacions Laborals,UAB,Cerdanyola del Vallès,U. Públ.,125,N/A,16
21109,Relacions Laborals / Dret (simultaneïtat),UAB,Cerdanyola del Vallès,U. Públ.,20,N/A,04-16
61033,Relacions Laborals i Recursos Humans,UdL,Lleida,U. Públ. CA,30,3.900 ,17
71082,Relacions Laborals i Recursos Humans,URV,Tarragona,U. Públ.,65,N/A,16
71083,Relacions Laborals i Recursos Humans / Dret (simultaneïtat),URV,Tarragona,U. Públ.,25,N/A,04-16
