Codi,Nom del centre de estudi,Població,Universitat,Tipus de centre,Places orientatives,Preu orientatiu,Observacions,PAU / CFGS,Més grans de 25 anys,Titulats universitaris,Més grans de 45 anys,Branca,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
11020,FÍSICA / MATEMÀTIQUES (SIMULTANEÏTAT),BARCELONA,UB,U. PÚBL.,20,NAN,04-16,13.192,5.500,8.380,5.000,C,0,0,1,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0
11020,MATEMÀTIQUES / FÍSICA (SIMULTANEÏTAT),BARCELONA,UB,U. PÚBL.,20,NAN,04-16,13.192,5.500,8.380,5.000,C,0,0,1,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0
11020,MATEMÀTIQUES / FÍSICA (SIMULTANEÏTAT),BARCELONA,UB,U. PÚBL.,20,NAN,04-16,13.192,5.500,8.380,5.000,C,0,0,1,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0
11021,ESTUDIS ANGLESOS (DOCÈNCIA EN ANGLÈS),BARCELONA,UB,U. PÚBL.,160,NAN,16,6.078,5.000,5.000,5.000,AH,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0,0,2,2
11023,ESTUDIS LITERARIS,BARCELONA,UB,U. PÚBL.,100,NAN,16,7.300,5.000,7.800,9.000,AH,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,2,2
11024,FARMÀCIA,BARCELONA,UB,U. PÚBL.,340,NAN,16,11.216,5.000,7.150,5.000,CS,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
11025,FILOLOGIA CATALANA,BARCELONA,UB,U. PÚBL.,70,NAN,16,5.000,5.000,5.000,5.000,AH,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0,0,2,2
11026,FILOLOGIA CLÀSSICA,BARCELONA,UB,U. PÚBL.,60,NAN,16,5.000,5.000,5.000,5.000,AH,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0,0,2,2
11027,FILOLOGIA HISPÀNICA,BARCELONA,UB,U. PÚBL.,120,NAN,16,5.000,5.000,5.000,6.333,AH,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0,0,2,2
11029,ARQUEOLOGIA,BARCELONA,UB,U. PÚBL.,75,NAN,16,5.000,5.000,5.000,5.000,AH,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
