41029 CSJ	0 0 2 0 0 0 0 2 0 2 2 0 0 0 0 0 0 0 0 2 2 2 0 0 0 2 0
41036 CSJ	0 0 2 0 0 0 0 2 0 2 2 0 0 0 0 0 0 0 0 2 2 2 0 0 0 2 0
41041 CSJ	2 2 2 0 0 0 2 2 1 2 2 0 0 2 2 2 0 0 0 2 2 2 0 2 0 2 0
41035 CSJ	1 1 2 0 0 0 0 2 2 2 2 0 0 2 2 2 0 0 0 2 2 2 0 0 0 2 0
11033 CSJ	0 0 2 0 0 0 0 2 0 2 2 0 0 0 0 0 0 0 0 2 2 2 0 0 0 2 0
21014 CSJ	0 0 2 0 0 0 0 2 0 2 2 0 0 0 0 0 0 0 0 2 2 2 0 0 0 2 0
21099 CSJ	0 0 2 0 0 0 0 2 0 2 2 0 0 0 0 0 0 0 0 2 2 2 0 0 0 2 0
61077 CSJ	0 0 2 0 0 0 0 2 0 2 2 0 0 0 0 0 0 0 0 2 2 2 0 0 0 0 0
41008 CSJ	0 0 2 0 0 0 0 2 0 2 2 0 0 0 0 0 0 0 0 2 2 2 0 0 0 2 0
61003 CSJ	0 0 2 0 0 0 0 2 0 2 2 0 0 0 0 0 0 0 0 2 2 2 0 0 0 2 0
61069 CSJ	0 0 2 0 0 0 0 2 0 2 2 0 0 0 0 0 0 0 0 2 2 2 0 0 0 2 0
81003 CSJ	0 0 2 0 0 0 0 2 0 2 2 0 0 0 0 0 0 0 0 2 2 2 0 0 0 2 0
71002 CSJ	0 0 2 0 0 0 0 2 0 2 2 0 0 0 0 0 0 0 0 2 2 2 0 0 0 2 0
71004 CSJ	0 0 2 0 0 0 0 2 0 2 2 0 0 0 0 0 0 0 0 2 2 2 0 0 0 2 0
71063 CSJ	0 0 2 0 0 0 0 2 0 2 2 0 0 0 0 0 0 0 0 2 2 2 0 0 0 2 0
91003 CSJ	0 0 2 0 0 0 0 2 0 2 2 0 0 0 0 0 0 0 0 2 2 2 0 0 0 2 0
91042 CSJ	0 0 2 0 0 0 0 2 0 2 2 0 0 0 0 0 0 0 0 2 2 2 0 0 0 2 0
11064 CSJ	0 0 2 0 0 0 0 2 0 2 2 0 0 1 2 0 0 0 0 2 2 2 0 0 0 2 0
21098 CSJ	0 0 2 0 0 0 0 2 0 2 2 0 0 1 2 0 0 0 0 2 2 2 0 0 0 2 0
61035 CSJ	0 0 2 0 0 0 0 2 0 2 2 0 0 1 2 0 0 0 0 2 2 2 0 0 0 2 0
81053 CSJ	0 0 2 0 0 0 0 2 0 2 2 0 0 1 2 0 0 0 0 2 2 2 0 0 0 2 0
71055 CSJ	0 0 2 0 0 0 0 2 0 2 2 0 0 1 2 0 0 0 0 2 2 2 0 0 0 2 0
81052 CSJ	0 0 2 0 0 0 0 2 0 2 2 0 0 0 0 0 0 0 0 2 2 2 0 0 0 2 0
41034 CSJ	0 0 2 0 0 0 0 2 0 2 2 0 0 0 2 0 0 0 0 2 2 2 0 0 0 2 0
61070 EA	0 0 2 0 0 2 1 2 0 2 2 1 0 0 0 0 0 0 0 2 2 2 2 0 2 2 0
71053 CSJ	0 0 2 0 0 0 0 2 0 2 2 0 0 0 0 0 0 0 0 2 2 2 0 0 0 2 0
71079 CSJ	0 0 2 0 0 0 0 2 0 2 2 0 0 0 0 0 0 0 0 2 2 2 0 2 0 2 0
71080 CSJ	0 0 2 0 0 0 0 2 0 2 2 0 0 0 0 0 0 0 0 2 2 2 0 2 0 2 0
11095 CSJ	0 0 2 0 0 0 0 2 0 2 2 0 0 0 0 0 0 0 0 2 2 2 0 0 0 2 0
11090 CSJ	0 0 2 0 1 0 1 2 1 2 2 1 0 1 2 1 0 0 0 2 2 2 0 1 0 2 0
61053 CSJ	1 1 2 0 0 0 0 2 2 2 2 0 0 2 2 2 0 0 0 2 2 2 0 0 0 2 0
71003 AH	0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 2 2 0 0 0 0 0 0 0 2 2
71049 AH	0 0 0 0 0 0 0 0 0 0 2 0 1 2 2 0 0 0 0 0 2 0 0 0 0 2 0
11001 CSJ	0 0 0 0 0 0 0 0 0 0 2 0 1 2 2 0 0 0 0 2 2 0 0 0 0 2 0
21152 CSJ	0 0 0 0 0 0 0 0 0 0 2 0 1 2 2 0 0 0 0 2 2 0 0 0 0 2 0
11029 AH	0 0 0 0 0 0 0 0 2 0 0 0 0 2 2 2 0 0 0 0 0 0 0 0 0 0 0
21146 AH	0 0 0 0 0 0 0 0 2 0 0 0 0 2 2 2 0 0 0 0 0 0 0 0 0 0 0
11096 AH	0 0 0 0 0 0 0 0 2 0 1 0 0 2 2 2 0 0 0 0 0 0 0 0 0 1 0
71087 EA	0 0 0 0 2 2 2 2 2 1 1 1 0 0 0 2 0 0 0 2 0 0 1 1 0 0 0
31078 EA	0 0 0 0 2 2 2 2 2 1 1 1 0 0 0 2 0 0 0 2 0 0 1 1 0 0 0
31079 EA	0 0 0 0 2 2 2 2 2 1 1 1 0 0 0 2 0 0 0 2 0 0 1 1 0 0 0
81057 EA	0 0 0 0 2 2 2 2 2 1 1 1 0 0 0 2 0 0 0 2 0 0 1 1 0 0 0
31016 EA	0 0 0 0 0 2 1 2 0 1 0 1 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0
61016 EA	0 0 0 0 0 2 1 2 0 1 0 1 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0
81020 EA	0 0 0 0 0 2 1 2 0 1 0 1 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0
81065 EA	0 0 0 0 0 2 1 2 0 1 0 1 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0
81045 AH	2 2 0 0 2 0 0 0 2 0 0 0 2 2 2 2 0 0 2 0 0 0 0 2 0 0 0
21020 AH	0 0 0 0 2 2 2 2 2 1 0 0 0 0 2 2 0 0 0 1 1 0 1 2 0 0 0
91063 CS	0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
11099 AH	0 0 0 0 2 2 2 0 2 0 0 0 0 2 2 2 0 0 0 0 0 0 0 2 0 0 0
91059 AH	0 0 0 0 2 2 2 0 2 0 0 0 0 2 2 2 0 0 0 0 0 0 0 2 0 0 0
91917 CS	0 0 2 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0
11002 C	0 0 2 1 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0
21009 C	0 0 2 1 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0
81006 C	0 0 2 1 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0
