Notes de tall 1a assignació Juny 2024 (11/07/24),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Codi,Nom del centre d'estudi i població,SiglesUniversitat,PAU /CFGS,Més grans de25 anys,Titulatsuniversitaris,Més grans de45 anys
Ordre alfabètic per centre d'estudi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ESTUDIS DE GRAU I TÍTOLS PROPIS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Codi,Nom del centre d'estudi i població,SiglesUniversitat,PAU /CFGS,Més grans de25 anys,Titulatsuniversitaris,Més grans de45 anys,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61077,Administració i Direcció d'Empreses i Transformació de Negocis "CentreUniversitari EAE" (Barcelona),UdL,5 000,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11001,Antropologia Social i Cultural (Barcelona),UB,5 000,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61053,Administració i Direcció d'Empreses / Turisme (simultaneïtat) (Lleida),UdL,7 222,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
71003,Anglès (Tarragona),URV,5 000,5 250,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11029,Arqueologia (Barcelona),UB,5 000,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21146,Arqueologia (Cerdanyola del Vallès),UAB,5 000,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
71049,Antropologia i Evolució Humana (virtual o semipresencial) (Tarragona),URV / UOC,5 000,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11096,Arqueologia / Història (simultaneïtat) (Barcelona),UB,7 451,7 375,8 045,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21152,Antropologia Social i Cultural (Cerdanyola del Vallès),UAB,5 000,5 000,5 000,6 167,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31016,Arquitectura Tècnica i Edificació (Barcelona),UPC,8 006,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
81020,Arquitectura Tècnica i Edificació (Girona),UdG,8 218,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
81065,Arquitectura Tècnica i Edificació (semipresencial) (Girona),UdG,7 614,5 000,7 800,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61016,Arquitectura Tècnica i Edificació (Lleida),UdL,7 890,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31078,Arquitectura  Estudis d' (Barcelona),UPC,9 516,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
81057,Arquitectura  Estudis d' (Girona),UdG,9 490,5 000,7 010,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
71087,Arquitectura  Estudis d' (Reus),URV,8 910,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31079,Arquitectura  Estudis d' (Sant Cugat del Vallès),UPC,9 844,5 000,6 900,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
81045,Arts Escèniques "ERAM" (Salt),UdG,5 174,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21020,Arts i Disseny "Massana" (Barcelona),UAB,5 000,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
91063,Audiologia General (Vic),UVic-UCC,5 000,5 000,5 000,5 000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
